donor	receiver	compound	mass_rate	rate	frequency	community	medium
CH9-bin.1	CH9-bin.5	M_ppa_e	0.0003908160554267786	0.005348486602328419	1.0	CM_X	SC1_X
CH9-bin.5	CH9-bin.2	M_arg__L_e	0.0003897646498606559	0.002224578686401591	0.3	CM_X	SC1_X
CH9-bin.0	CH9-bin.5	M_acald_e	0.000388734576883004	0.008824367727592687	0.3	CM_X	SC1_X
CH14-bin.1	CH14-bin.4	M_glyc3p_e	0.000379903514919918	0.002233969636875494	0.8	CD_X	SC1_X
CH14-bin.2	CH14-bin.1	M_mal__L_e	0.0003729337990850207	0.002823728673164824	0.2	CD_X	SC1_X
CH3-bin.2	CH3-bin.0	M_xyl__D_e	0.000372655680422499	0.002482228212459903	0.9	M_X	SC1_X
CH14-bin.2	CH14-bin.4	M_mal__L_e	0.0003658769659933247	0.002770296718239716	0.7	CD_X	SC1_X
CH9-bin.2	CH9-bin.1	M_acald_e	0.00036405587624584906	0.008264155329694843	0.5	CM_X	SC1_X
CH9-bin.4	CH9-bin.0	M_arg__L_e	0.00034243269508613886	0.001954431925234928	0.8	CM_X	SC1_X
CH14-bin.1	CH14-bin.2	M_acald_e	0.00033654786593312146	0.007639716926503925	0.1	CD_X	SC1_X
CH14-bin.2	CH14-bin.4	M_glyc3p_e	0.00031101892240260534	0.001828903397452424	0.2	CD_X	SC1_X
CH14-bin.1	environment	M_4hba_e	0.00029842838582844796	0.002404026408170721	1.0	CD_X	SC1_X
CH3-bin.2	environment	M_h2s_e	0.000296629585043477	0.008703715436359389	0.9	M_X	SC1_X
CH9-bin.5	environment	M_co2_e	0.00029428788814881205	0.0066869173280498986	0.8	CM_X	SC1_X
environment	CH3-bin.0	M_xylan4_e	0.0002887245899932941	0.0004001237131939281	1.0	M_X	SC1_X
CH9-bin.0	environment	M_h2s_e	0.00027626715055061653	0.008106240186574746	1.0	CM_X	SC1_X
CH9-bin.0	environment	M_pheme_e	0.00027098218650703336	0.00044100134800195907	1.0	CM_X	SC1_X
CH9-bin.1	environment	M_co_e	0.00025980081072872723	0.009275254666307055	0.1	CM_X	SC1_X
CH9-bin.1	CH9-bin.0	M_gua_e	0.0002572272882327189	0.001702072829559452	1.0	CM_X	SC1_X
CH9-bin.0	CH9-bin.1	M_co2_e	0.000241218118109121	0.005481046549247798	0.7	CM_X	SC1_X
CH9-bin.1	CH9-bin.2	M_mal__L_e	0.00022050182975394425	0.001669565324165143	0.9	CM_X	SC1_X
environment	CH14-bin.1	M_xylan8_e	0.00021645243942438602	0.00015187924639580193	0.1	CD_X	SC1_X
CH9-bin.2	CH9-bin.0	M_orn_e	0.0002063778951068933	0.001549751255604883	0.3	CM_X	SC1_X
