donor	receiver	compound	mass_rate	rate	frequency	community	medium
CH7-bin.1	environment	M_ac_e	0.0009253773299261175	0.01567269997283577	0.98	CM_P	SC2_C
CH8-bin.17	environment	M_ac_e	0.0008898661843004295	0.01507126365806509	1.0	CM_A	SC2_C
CH7-bin.23	CH7-bin.8	M_acald_e	0.0008654104737396187	0.019645024419546242	0.71	CM_P	SC2_C
environment	CH1-bin.8	M_cellb_e	0.0008565911538389334	0.0025024895261257615	0.91	M_P	SC2_C
CH8-bin.21	environment	M_ac_e	0.0008524005422261357	0.01443672491529414	1.0	CM_A	SC2_C
CH7-bin.11	CH7-bin.17	M_ocdcea_e	0.0008489322352567871	0.0030162583091644614	0.16	CM_P	SC2_C
CH1-bin.8	environment	M_glyc_e	0.0008389654451919121	0.009109931159005925	0.03	M_P	SC2_C
CH7-bin.16	environment	M_co2_e	0.0008297570723192761	0.01885404452037119	1.0	CM_P	SC2_C
CH7-bin.11	CH7-bin.12	M_glc__D_e	0.0008263954411190664	0.0045871255655898545	0.08	CM_P	SC2_C
CH8-bin.6	CH8-bin.5	M_glc__D_e	0.0008168829121554522	0.004534323768010574	0.01	CM_A	SC2_C
CH8-bin.5	CH8-bin.25	M_gal_e	0.0008003994200500894	0.004442827803385796	1.0	CM_A	SC2_C
CH8-bin.25	CH8-bin.22	M_actn__R_e	0.0007767362302876445	0.00881604895859981	0.89	CM_A	SC2_C
environment	CH7-bin.17	M_cellb_e	0.0007765009320603321	0.00226850982618629	0.5	CM_P	SC2_C
CH1-bin.6	CH1-bin.4	M_glc__D_e	0.0007742800202816656	0.004297845195212942	0.03	M_P	SC2_C
CH8-bin.5	CH8-bin.8	M_glc__D_e	0.0007698949521215302	0.004273504719378549	0.08	CM_A	SC2_C
CH1-bin.6	CH1-bin.8	M_glc__D_e	0.0007601027369659095	0.0042191504499221755	0.12	M_P	SC2_C
CH7-bin.11	CH7-bin.16	M_acald_e	0.0007484576588050516	0.016990167591437736	0.52	CM_P	SC2_C
CH8-bin.6	environment	M_ac_e	0.0007472768629779288	0.012656292402397686	1.0	CM_A	SC2_C
CH1-bin.6	CH1-bin.8	M_diact_e	0.0007213534002546661	0.008379158780502341	0.22	M_P	SC2_C
CH8-bin.5	environment	M_ac_e	0.0007112009934246672	0.012045291612252365	0.99	CM_A	SC2_C
CH7-bin.4	environment	M_ac_e	0.0007107157211717494	0.012037072774185812	0.98	CM_P	SC2_C
CH8-bin.5	CH8-bin.16	M_gal_e	0.0007068731174711797	0.003923685426421744	0.98	CM_A	SC2_C
CH8-bin.9	environment	M_co2_e	0.0007062565262592325	0.016047819817521954	1.0	CM_A	SC2_C
environment	CH7-bin.12	M_cell4_e	0.0007049495076560541	0.0010575680907444222	1.0	CM_P	SC2_C
CH1-bin.4	CH1-bin.9	M_acald_e	0.0007031112502720744	0.01596079328872149	0.24	M_P	SC2_C
environment	CH7-bin.17	M_cell4_e	0.0006953861143411311	0.0010432210495744385	0.35	CM_P	SC2_C
CH8-bin.25	environment	M_ac_e	0.0006942883527523892	0.011758849817718497	0.99	CM_A	SC2_C
CH7-bin.2	CH7-bin.8	M_gal_e	0.0006897617290146061	0.0038287041577138746	0.23	CM_P	SC2_C
CH1-bin.9	CH1-bin.6	M_co2_e	0.0006817681868255877	0.015491386787525136	0.06	M_P	SC2_C
CH7-bin.11	CH7-bin.23	M_acald_e	0.0006773442085026546	0.015375875287218281	0.04	CM_P	SC2_C
CH1-bin.9	CH1-bin.8	M_glyald_e	0.000674552908219605	0.007488567183882416	0.05	M_P	SC2_C
CH8-bin.7	CH8-bin.8	M_glc__D_e	0.0006638690779913846	0.0036849801781760885	0.21	CM_A	SC2_C
CH8-bin.6	CH8-bin.8	M_glc__D_e	0.0006624174483332916	0.0036769225254046868	0.14	CM_A	SC2_C
CH1-bin.6	CH1-bin.1	M_acald_e	0.0006596264430943877	0.01497367778133286	0.16	M_P	SC2_C
CH7-bin.23	environment	M_h2s_e	0.0006558830172834388	0.019244941940430946	0.47	CM_P	SC2_C
CH7-bin.8	environment	M_co2_e	0.0006491522516443021	0.014750275546059422	0.67	CM_P	SC2_C
CH7-bin.2	environment	M_co_e	0.0006323066577262876	0.02257423778302425	0.92	CM_P	SC2_C
environment	CH8-bin.25	M_cellb_e	0.0006314430277100005	0.0018447301914193475	0.6	CM_A	SC2_C
environment	CH8-bin.7	M_cys__L_e	0.0006172493951124913	0.005094586445559813	1.0	CM_A	SC2_C
CH1-bin.6	CH1-bin.8	M_acald_e	0.0006103548767245881	0.013855201458367496	0.35	M_P	SC2_C
CH7-bin.8	CH7-bin.9	M_abt__L_e	0.000604422818641863	0.003972668354802041	0.06	CM_P	SC2_C
CH7-bin.8	CH7-bin.18	M_acald_e	0.0006009915703586128	0.013642652167841317	0.03	CM_P	SC2_C
CH7-bin.9	CH7-bin.8	M_arab__L_e	0.000596414713772253	0.003972668354802041	0.06	CM_P	SC2_C
CH7-bin.12	environment	M_ac_e	0.0005931066600948233	0.010045180960180871	1.0	CM_P	SC2_C
CH8-bin.22	CH8-bin.8	M_diact_e	0.0005916459732391489	0.006872492109783467	0.06	CM_A	SC2_C
CH8-bin.25	environment	M_co_e	0.0005887474152904658	0.021019111509436448	0.65	CM_A	SC2_C
CH8-bin.22	CH8-bin.6	M_diact_e	0.0005809333832410683	0.006748055886827215	0.22	CM_A	SC2_C
CH1-bin.6	CH1-bin.3	M_acald_e	0.0005779984504726483	0.013120702855523157	0.21	M_P	SC2_C
CH8-bin.22	CH8-bin.29	M_diact_e	0.0005768938182620453	0.0067011327610036735	0.93	CM_A	SC2_C
CH7-bin.11	CH7-bin.2	M_glc__D_e	0.0005738738526008905	0.0031854379752196743	0.04	CM_P	SC2_C
CH8-bin.2	CH8-bin.8	M_glc__D_e	0.0005668977326945158	0.003146715184193846	0.23	CM_A	SC2_C
CH8-bin.17	CH8-bin.8	M_glc__D_e	0.0005619898974926065	0.0031194729521990825	0.33	CM_A	SC2_C
