	chebi id	chebi class	self defined super class
M_ile__L_e	CHEBI:33709	amino acid	amino acids and derivatives
M_imp_e	CHEBI:25608	nucleoside phosphate	nucleotides and derivatives
M_ind3ac_e	CHEBI:24828	indoles	other
M_indole_e	CHEBI:24828	indoles	other
M_inost_e	CHEBI:26191	polyol	other
M_ins_e	CHEBI:33838	nucleoside	nucleotides and derivatives
M_k_e	CHEBI:24835	inorganic ion	inorganic ions and atoms
M_lcts_e	CHEBI:36233	disaccharide	simple sugars
M_leu__D_e	CHEBI:33709	amino acid	amino acids and derivatives
M_leu__L_e	CHEBI:33709	amino acid	amino acids and derivatives
M_leuleu_e	CHEBI:25676	oligopeptide	oligopeptides
M_lipoate_e	CHEBI:33576	sulfur-containing carboxylic acid	carboxylic acids and anions
M_lmn2_e	CHEBI:36233	disaccharide	simple sugars
M_lys__D_e	CHEBI:33709	amino acid	amino acids and derivatives
M_lys__L_e	CHEBI:33709	amino acid	amino acids and derivatives
M_lyx__L_e	CHEBI:35381	monosaccharide	simple sugars
M_m_xyl_e	CHEBI:27338	xylene	aromatic compounds
M_malt_e	CHEBI:36233	disaccharide	simple sugars
M_man_e	CHEBI:35381	monosaccharide	simple sugars
M_manglyc_e	CHEBI:33720	carbohydrate acid	carbohydrate derivatives
M_melib_e	CHEBI:36233	disaccharide	simple sugars
M_met__D_e	CHEBI:33709	amino acid	amino acids and derivatives
M_met__L_e	CHEBI:33709	amino acid	amino acids and derivatives
M_metox_e	CHEBI:83821	amino acid derivative	amino acids and derivatives
M_metsox_R__L_e	CHEBI:83821	amino acid derivative	amino acids and derivatives
M_metsox_S__L_e	CHEBI:83821	amino acid derivative	amino acids and derivatives
M_mg2_e	CHEBI:24835	inorganic ion	inorganic ions and atoms
M_minohp_e	CHEBI:26191	polyol	other
M_mmet_e	CHEBI:83821	amino acid derivative	amino acids and derivatives
M_mn2_e	CHEBI:24835	inorganic ion	inorganic ions and atoms
M_mnl_e	CHEBI:26191	polyol	other
M_mobd_e	CHEBI:24835	inorganic ion	inorganic ions and atoms
M_mththf_e	CHEBI:26191	polyol	other
M_n2_e	CHEBI:138675	gas molecular entity	gases
M_n2o_e	CHEBI:24835	inorganic ion	inorganic ions and atoms
M_na1_e	CHEBI:24835	inorganic ion	inorganic ions and atoms
M_nac_e	CHEBI:75769	B vitamin	B-vitamins
M_ncam_e	CHEBI:75769	B vitamin	B-vitamins
M_nh4_e	CHEBI:24835	inorganic ion	inorganic ions and atoms
M_ni2_e	CHEBI:24835	inorganic ion	inorganic ions and atoms
M_nmn_e	CHEBI:25608	nucleoside phosphate	nucleotides and derivatives
M_no2_e	CHEBI:138675	gas molecular entity	gases
M_no3_e	CHEBI:24835	inorganic ion	inorganic ions and atoms
M_no_e	CHEBI:138675	gas molecular entity	gases
M_nona_e	CHEBI:58954	straight-chain saturated fatty acid anion	fatty acids
M_novbcn_e	CHEBI:33853	phenols	aromatic compounds
M_o2_e	CHEBI:138675	gas molecular entity	gases
M_o2s_e	CHEBI:138675	gas molecular entity	gases
M_ocdca_e	CHEBI:58954	straight-chain saturated fatty acid anion	fatty acids
M_octa_e	CHEBI:58954	straight-chain saturated fatty acid anion	fatty acids
M_orn__D_e	CHEBI:33709	amino acid	amino acids and derivatives
M_orn__L_e	CHEBI:37022	amino-acid anion	amino acids and derivatives
M_orn_e	CHEBI:37022	amino-acid anion	amino acids and derivatives
M_orot_e	CHEBI:39447	pyrimidines	nucleotides and derivatives
M_p_xyl_e	CHEBI:27338	xylene	aromatic compounds
M_pala_e	CHEBI:36233	disaccharide	simple sugars
M_phe__L_e	CHEBI:33709	amino acid	amino acids and derivatives
M_phenol_e	CHEBI:33853	phenols	aromatic compounds
M_pi_e	CHEBI:24835	inorganic ion	inorganic ions and atoms
M_pnto__R_e	CHEBI:75769	B vitamin	B-vitamins
M_ppi_e	CHEBI:24835	inorganic ion	inorganic ions and atoms
M_ppt_e	CHEBI:24835	inorganic ion	inorganic ions and atoms
M_pro__L_e	CHEBI:33709	amino acid	amino acids and derivatives
M_progly_e	CHEBI:25676	oligopeptide	oligopeptides
M_psclys_e	CHEBI:83821	amino acid derivative	amino acids and derivatives
M_pser__D_e	CHEBI:83821	amino acid derivative	amino acids and derivatives
M_pser__L_e	CHEBI:83821	amino acid derivative	amino acids and derivatives
M_pta_e	CHEBI:58954	straight-chain saturated fatty acid anion	fatty acids
M_pydam_e	CHEBI:75769	B vitamin	B-vitamins
M_pydx_e	CHEBI:75769	B vitamin	B-vitamins
M_pydxn_e	CHEBI:75769	B vitamin	B-vitamins
M_rbt_e	CHEBI:26191	polyol	other
M_rib__D_e	CHEBI:35381	monosaccharide	simple sugars
M_ribflv_e	CHEBI:75769	B vitamin	B-vitamins
M_rmn_e	CHEBI:23639	deoxy sugar	carbohydrate derivatives
M_rnam_e	CHEBI:33838	nucleoside	nucleotides and derivatives
M_s_e	CHEBI:25585	nonmetal atom	inorganic ions and atoms
M_salc_e	CHEBI:33853	phenols	aromatic compounds
M_sbt__D_e	CHEBI:26191	polyol	other
M_sel_e	CHEBI:24835	inorganic ion	inorganic ions and atoms
M_ser__D_e	CHEBI:33709	amino acid	amino acids and derivatives
M_ser__L_e	CHEBI:33709	amino acid	amino acids and derivatives
M_so3_e	CHEBI:138675	gas molecular entity	gases
